date,real_gdp,cpi,policy_rate,baa_treasury_spread,gdp_growth,inflation,target_next_growth
1978-07-01,7129.915,65.96666666666667,8.1,1.01,4.002899038963648,9.20050783573032,5.340688777143043
1978-10-01,7225.75,67.5,9.583333333333334,0.9666666666666667,5.340688777143043,9.19121357522954,0.7177309477135907
1979-01-01,7238.727,69.2,10.073333333333332,1.05,0.7177309477135907,9.949305898055982,0.42675342381599535
1979-04-01,7246.454,71.39999999999999,10.18,1.28,0.42675342381599535,12.518802688765618,2.960237918395592
1979-07-01,7300.281,73.7,10.946666666666667,1.29,2.960237918395592,12.68197193990126,0.9989323068019473
1979-10-01,7318.535,76.03333333333335,13.576666666666666,1.37,0.9989323068019473,12.467616570776485,1.2563096561727605
1980-01-01,7341.557,79.03333333333333,15.046666666666667,1.4933333333333334,1.2563096561727605,15.479145512406944,-8.327831932629692
1980-04-01,7190.289,81.7,12.686666666666667,2.8800000000000003,-8.327831932629692,13.273718985082894,-0.47570175224933564
1980-07-01,7181.743,83.23333333333333,9.836666666666666,2.2133333333333334,-0.47570175224933564,7.437562700664202,7.390987394368409
1980-10-01,7315.677,85.56666666666666,15.853333333333333,2.2466666666666666,7.390987394368409,11.059156236546741,7.761890672144034
1981-01-01,7459.022,87.93333333333334,16.569999999999997,2.2866666666666666,7.761890672144034,10.913260962448135,-2.975341260138009
1981-04-01,7403.745,89.76666666666667,17.78,2.02,-2.975341260138009,8.25390381373552,4.761555002768603
1981-07-01,7492.405,92.26666666666667,17.576666666666664,1.63,4.761555002768603,10.987689570384518,-4.382305248093132
1981-10-01,7410.768,93.76666666666667,13.586666666666666,2.5966666666666667,-4.382305248093132,6.450596700918609,-6.263360730763168
1982-01-01,7295.631,94.60000000000001,14.226666666666667,2.7399999999999998,-6.263360730763168,3.5392196920525976,1.8205591765521945
1982-04-01,7328.912,95.96666666666665,14.513333333333334,2.85,1.8205591765521945,5.737373156874881,-1.53199737122236
1982-07-01,7300.896,97.63333333333333,11.006666666666666,3.1333333333333333,-1.53199737122236,6.887222486223266,0.16000314632407253
1982-10-01,7303.817,97.93333333333334,9.286666666666667,3.723333333333333,0.16000314632407253,1.2272039624356523,5.236732349996487
1983-01-01,7400.066,98.0,8.653333333333334,3.27,5.236732349996487,0.27220143956192544,9.000065817965464
1983-04-01,7568.456,99.13333333333333,8.803333333333335,2.706666666666667,9.000065817965464,4.599306674948878,7.916951322731336
1983-07-01,7719.746,100.10000000000001,9.459999999999999,1.8999999999999997,7.916951322731336,3.8815763852923624,8.258879309601497
1983-10-01,7880.794,101.10000000000001,9.43,1.92,8.258879309601497,3.976175882100108,7.743718840227842
1984-01-01,8034.847,102.53333333333335,9.686666666666667,1.8,7.743718840227842,5.631129174781435,6.852022040238381
1984-04-01,8173.67,103.5,10.556666666666667,1.5,6.852022040238381,3.753465496817654,3.837572472394868
1984-07-01,8252.465,104.39999999999999,11.39,1.8433333333333335,3.837572472394868,3.463225097246081,3.2696916876567172
1984-10-01,8320.199,105.3,9.266666666666667,1.8633333333333333,3.2696916876567172,3.4334974765563686,3.8572589264589396
1985-01-01,8400.82,106.26666666666667,8.476666666666667,1.8099999999999998,3.8572589264589396,3.655295643208234,3.50648002994447
1985-04-01,8474.787,107.23333333333333,7.923333333333333,2.2066666666666666,3.50648002994447,3.622194931568501,6.062904149531079
1985-07-01,8604.22,107.89999999999999,7.8999999999999995,2.1333333333333333,6.062904149531079,2.479090674886919,2.962796731476658
1985-10-01,8668.188,109.0,8.103333333333333,2.216666666666667,2.962796731476658,4.057203986021918,3.7176606214451624
1986-01-01,8749.127,109.56666666666666,7.826666666666667,2.4600000000000004,3.7176606214451624,2.0741239091680796,1.7971422180302454
1986-04-01,8788.524,109.03333333333335,6.919999999999999,2.67,1.7971422180302454,-1.9518184503340308,3.8084837814011507
1986-07-01,8872.601,109.7,6.206666666666666,2.873333333333333,3.8084837814011507,2.43828856198256,2.139837666846489
